SQ_CANDIDATO,NR_CANDIDATO,NM_CANDIDATO,NR_PARTIDO,NM_PARTIDO
210002212017,22777,PAULO ROBERTO DE LIMA,22,PARTIDO LIBERAL
210002355360,11110,OMAR LUIS FIORINI,11,PROGRESSISTAS
210002114848,30001,GILMAR MOURA DE SOUZA,30,PARTIDO NOVO
210002227223,13689,NAIELY NAIARA DE ALMEIDA IZAQUINI,13,PARTIDO DOS TRABALHADORES
210002105764,12,CLAUDIOMIRO FRACASSO,13,PARTIDO DOS TRABALHADORES
210002065404,20456,JULIANO DE MORAIS,20,PODEMOS
210002233089,13111,CLAUDIOMOR INHAIA,13,PARTIDO DOS TRABALHADORES
210002318092,15602,ANA GABRIELY DA SILVA QUEVEDO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002234955,13123,CARLOS  MARCELO GODOY SOARES,13,PARTIDO DOS TRABALHADORES
210002178484,44222,AUGUSTO CÉSAR MARTINS DE OLIVEIRA,44,UNIÃO BRASIL
210002386079,13092,LEDA DE OLIVEIRA DA SILVA,13,PARTIDO DOS TRABALHADORES
210002020015,13355,JORGE VALDIR CORREIA DA SILVA,13,PARTIDO DOS TRABALHADORES
210001957628,12111,GILBERTO HAHN DE CAMARGO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001956142,11123,ROGER GRUNVALDT TOILLIER,11,PROGRESSISTAS
210002067645,13,NELSON SPOLAOR,13,PARTIDO DOS TRABALHADORES
210002281657,13,PIERRE EMERIM DA ROSA,13,PARTIDO DOS TRABALHADORES
210002397211,44077,MATILDE ADRIANA SCHMITZ DE ALMEIDA MACHADO,44,UNIÃO BRASIL
210002195507,15,CARLOS CESAR DINON,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002227661,25,MARCIO CRISTIANO PRADO DE FREITAS,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002310255,44123,JOSE VANTUIR PEZZINI KLAR,44,UNIÃO BRASIL
210002358922,55888,MARCO ANTÔNIO DE SOUZA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002019903,15015,SOLECI FÁTIMA LAZZAROTTO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002358679,13456,CARLA FARIAS,13,PARTIDO DOS TRABALHADORES
210002322930,44333,ANTONIO CEZAR BENITES SOARES,44,UNIÃO BRASIL
210002193356,50297,MAICON CORREA TEIXEIRA,50,PARTIDO SOCIALISMO E LIBERDADE
210002347994,25125,SÉRGIO LUIZ TELLES FERREIRA,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002146345,15123,CRISTIAN DA SILVEIRA SCHMIT,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002352971,13333,JUCELINO SCOPEL VAZ,13,PARTIDO DOS TRABALHADORES
210002370070,22222,MARIA CEZINA DA SILVA CANIELAS,22,PARTIDO LIBERAL
210002257305,22222,MIQUELE COSTA KUZE,22,PARTIDO LIBERAL
210002069741,13303,ELISABETE PORTO PACHECO,13,PARTIDO DOS TRABALHADORES
210002156599,11555,FREDERICO SELBACH,11,PROGRESSISTAS
210001949690,23200,KETLEN CHAIANA DE ALMEIDA CARDOSO,23,CIDADANIA
210001976943,10999,LUIS ALFREDO TOUGUINHA THOMÉ,10,REPUBLICANOS
210001938593,22555,JOÃO PAULO SOARES CORREA DOS SANTOS,22,PARTIDO LIBERAL
210001938595,22033,SILVIA SIMIÃO,22,PARTIDO LIBERAL
210001956429,15190,LUIS CARLOS DIETTRICH,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002242214,40444,ISMAR AMARAL DOS SANTOS,40,PARTIDO SOCIALISTA BRASILEIRO
210002226619,40873,VILMAR THIESEN,40,PARTIDO SOCIALISTA BRASILEIRO
210002276876,10100,NILTON CEZAR ALVES DA SILVA,10,REPUBLICANOS
210002199140,45550,RONALDO DE JESUS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002270254,13655,MARCOS DILAMAR PADILHA,13,PARTIDO DOS TRABALHADORES
210002139730,11789,DILMAR DE OLIVEIRA RODRIGUES,11,PROGRESSISTAS
210002031107,15600,ISIDORO DANIEL BOBRZYK,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002018363,12176,ROSA MARIA DA SILVEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002074067,15000,VARLETE PAVAN DE VARGAS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001940980,10026,LUCAS LEÃO DE SOUZA,10,REPUBLICANOS
210002147025,13456,ANDRIGO DE SENNA SILVEIRA,13,PARTIDO DOS TRABALHADORES
210002187464,13655,AGOSTINHO ADEMIR PEDROSO,13,PARTIDO DOS TRABALHADORES
210002041899,12300,ELIZABETE PAZ SILVEIRA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002149377,40018,SALETE DO VALE DE ANDRADE,40,PARTIDO SOCIALISTA BRASILEIRO
210002111912,12677,DILCEU MEDEIROS LOPES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002135238,13330,ANDREIA DE PAULA,13,PARTIDO DOS TRABALHADORES
210002299518,22600,SOLACI TABAJARA MOREIRA,22,PARTIDO LIBERAL
210002252238,11567,CLADEMAR MACHADO FERREIRA,11,PROGRESSISTAS
210002216675,12,RUBIAN JOSE KONAGESKI,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002396443,20120,LUCIANA TANSKI DE SOUZA,20,PODEMOS
210002165754,11,IONÁ CARREÑO,11,PROGRESSISTAS
210002170417,12630,NICANOR CORRÊA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002365374,55555,LENISE SOARES ALFAMA WAGNER,55,PARTIDO SOCIAL DEMOCRÁTICO
210002032058,44077,MÁRCIO ROBERTO LINCONTI MACHADO,44,UNIÃO BRASIL
210002119934,22999,ANTONIO CARLOS SANTOS MOREIRA,22,PARTIDO LIBERAL
210002279536,12,ANA RITA CHULA CARNEIRO FONTOURA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002383908,11888,LUIS CARLOS CARDOZO,11,PROGRESSISTAS
210002155073,45019,MARCOS RAFAEL DA SILVA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002311943,22140,MARIO BOZETTI GRANDO,22,PARTIDO LIBERAL
210001932073,20020,MARIÁ DOLORES DA ROCHA,20,PODEMOS
210002164299,11888,ROSEMÉRI DA SILVA FRANCO,11,PROGRESSISTAS
210002329057,11,ENOIR AGOSTINHO CARDOSO,11,PROGRESSISTAS
210002358050,13,CLAUDIOMIRO SCHWANTZ,13,PARTIDO DOS TRABALHADORES
210002075938,44333,JAIR LAGEMANN,44,UNIÃO BRASIL
210002362541,11333,EDER SORANZO,11,PROGRESSISTAS
210002004784,20300,NADIA ANGELICA ABADE,20,PODEMOS
210002249688,15678,JOÃO CARLOS GONÇALVES DECKER,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001909396,11123,VILMAR ALVES DA SILVA,11,PROGRESSISTAS
210002311696,22000,LAÍS ÁVILA DE SOUZA,22,PARTIDO LIBERAL
210001995475,45222,VANI MARISTELA ADAMS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002365367,55200,MARCOS ROGÉRIO RIBEIRO,55,PARTIDO SOCIAL DEMOCRÁTICO
210002071455,12321,JOSE AMILTON DE FRAGA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001969504,20854,CESAR DA COSTA GIL,20,PODEMOS
210002224737,15500,MARIA APARECIDA DO CARMO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002208097,12,EVERALDO DE MORAES DA SILVA,13,PARTIDO DOS TRABALHADORES
210002119533,44000,BÁRBARA SCHWALM DA SILVA,44,UNIÃO BRASIL
210002072954,30192,SIDENEI FELIPONI,30,PARTIDO NOVO
210002117987,11,JOACIR KASPER,11,PROGRESSISTAS
210002205498,20,JÚLIO CESAR CANDEIA,20,PODEMOS
210002186625,11100,ALEX DA SILVA ALMEIDA,11,PROGRESSISTAS
210002321873,45555,GLAUBER MOACIR DA CUNHA FERNANDES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210001978360,11000,ELIZEU AMARAL PEREIRA,11,PROGRESSISTAS
210002024944,11411,JOAO VALDIR PERERA,11,PROGRESSISTAS
210002317812,12945,JAIME DE LIMA PAVÃO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002356403,13200,ANGÉLICA NUNES CORDONET,13,PARTIDO DOS TRABALHADORES
210002041135,12400,SANDRA MARIA DA SILVA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002369239,12555,HELENA SCHWANCK DE SOUZA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001955290,15115,LUIZ FERNANDO COPETTI DESBESELL,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001912357,45,RODRIGO SARTORI,20,PODEMOS
210001975183,11,LEONIR HARTK,11,PROGRESSISTAS
210001973258,13444,JUNIOR PAULO VICENZI,13,PARTIDO DOS TRABALHADORES
210002047937,45456,RONILSON MIRANDA FRARE,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002386535,44,VALDECIR WIECZYNSKI,40,PARTIDO SOCIALISTA BRASILEIRO
210002397599,13555,ALINE DA SILVA MARCELINO,13,PARTIDO DOS TRABALHADORES
210002397124,12222,RANGEL RAHMAN MORAES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002397333,22140,ANTONINHA SUELI BRUM ZANELLA,22,PARTIDO LIBERAL
210002133653,44400,NEI TADEU LOUREIRO DE MELO,44,UNIÃO BRASIL
210002136949,44014,RAFAELA ZANELLA,44,UNIÃO BRASIL
210002139728,11350,RODRIGO BORTOLAS,11,PROGRESSISTAS
210002140792,45045,JOAO MARIA DA SILVA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002145089,44444,JAIR CAMPAGNOLO,44,UNIÃO BRASIL
210002197539,45014,MARIANE GONCALVES DE ALMEIDA,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002197764,15015,VALDECIR PAULUS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002201817,25777,ROSANE BIURRUN MARTINS CURTO,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002203850,25077,CRISTIANE FERNANDES SOUZA,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002206777,11123,GILIARDI MAFIOLETI GARDELIN,11,PROGRESSISTAS
210002257216,15115,DECIO FRANCISCO PETRY,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002141676,13030,MARCO ANTONIO ANDRETTA,13,PARTIDO DOS TRABALHADORES
210002194358,11888,DEISE BUNAI,11,PROGRESSISTAS
210002195038,11,INÁCIO CAPPELLARI,11,PROGRESSISTAS
210002197404,15515,MIRIAM TERESINHA NORA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002203189,15690,AVELINO ALVES MACHADO,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002203227,11990,ARILTON SILVA DA SILVA,11,PROGRESSISTAS
210002258956,12333,GEFERSON LUIZ GIACOBBO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002133001,22300,BARBARA JULIANE PEREIRA PUTZEL,22,PARTIDO LIBERAL
210002196416,25001,LONI KELLER KERN,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002198391,44012,IVANIR ANTÔNIO BRESSAN,44,UNIÃO BRASIL
210002201825,25380,LUCAS RIBEIRO SUZIN,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002208485,11234,ROSANI MARIA HENDGES RICHTER,11,PROGRESSISTAS
210002263297,10000,LUIS CLAUCIO KUNST,10,REPUBLICANOS
210002263299,10222,EMERSON ACÁCIO TRINDADE,10,REPUBLICANOS
210002266098,15,AUGUSTO PROCHNOW,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002266220,22,LUIS HENRIQUE KITTEL,22,PARTIDO LIBERAL
210002136076,55,CORINHA BEATRIS ORNES MOLLING,44,UNIÃO BRASIL
210002137765,22,LEONARDO DICSON SANCHEZ BETIN,22,PARTIDO LIBERAL
210002138132,12345,JOSÉ DE JESUS FREITAS ABREU,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002141675,13123,ANDRESSA DE DEUS MARCYNSKI,13,PARTIDO DOS TRABALHADORES
210002196181,12010,MARCIO CESAR BARBOZA MENUZZO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002196477,13,MAIQUEL ANDRIEL SECKLER BUTZKE,20,PODEMOS
210002197071,11500,MARCELO ANTÔNIO DA SILVA,11,PROGRESSISTAS
210002197735,40222,JADIANA IRALA DE BARROS,40,PARTIDO SOCIALISTA BRASILEIRO
210002197767,15777,MARCIEL LUIS MARINI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002198313,15444,ADELAR BARBOSA DOS SANTOS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002205680,12370,DARLEA ANDRADE MACEDO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002254199,40040,RENATO LOPES PARREIRA,40,PARTIDO SOCIALISTA BRASILEIRO
210002254572,45000,MONICA ESTELA PERONDI REMUS,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002261743,22007,ELIANE ROSLANIEC KOSLOWSKI,22,PARTIDO LIBERAL
210001883682,20062,YASSANAN DE SOUZA COSTA,20,PODEMOS
210001993951,10007,ALDOIR BORGES MACIEL,10,REPUBLICANOS
210001995356,40020,CLAUDIA FABIANA REICHERT,40,PARTIDO SOCIALISTA BRASILEIRO
210001939059,20000,CARLOS ROBERTO VIEIRA DA SILVA,20,PODEMOS
210001951306,15200,MIRCO CORONETTI,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001943702,15222,DEISE CRISTINA KERBER MARTINS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210001944536,22333,RENATA ALVES DE SOUZA,22,PARTIDO LIBERAL
210001945323,80000,ANDRE TELLES,80,UNIDADE POPULAR
210001947530,44303,ELIZIANE MEDEIRO,44,UNIÃO BRASIL
210001953946,55555,BRUNO ORTIZ PORTO,55,PARTIDO SOCIAL DEMOCRÁTICO
210001940952,55123,ROSEMERI ROLIM STASIAK,55,PARTIDO SOCIAL DEMOCRÁTICO
210001946044,50123,MALENA SOARES DE MESQUITA,50,PARTIDO SOCIALISMO E LIBERDADE
210001952982,10022,VOLMAR GIORDANI,10,REPUBLICANOS
210001953949,55855,ANA PAULA BACCELLI BARSANTE,55,PARTIDO SOCIAL DEMOCRÁTICO
210001995887,65653,CLAUDIO LIBARDI JUNIOR,65,PARTIDO COMUNISTA DO BRASIL
210001997234,11022,MARCIO FELIPE NUNES,11,PROGRESSISTAS
210001999690,55111,MARCIO EDUARDO GASPAR,55,PARTIDO SOCIAL DEMOCRÁTICO
210002051492,55789,ELISANGELA AMERICO DOS SANTOS DE CARVALHO,55,PARTIDO SOCIAL DEMOCRÁTICO
210002056841,12777,SANDRA ROSELY PANDOLFO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001955737,11195,ANA PAULA DE FREITAS WOJCIEHWSKI,11,PROGRESSISTAS
210001994036,22022,VANDERLEI DALINHA,22,PARTIDO LIBERAL
210001996093,44111,RUBILAR RODRIGUES FISCHBORN DA FONSECA,44,UNIÃO BRASIL
210002063867,13113,ZELINDA FATIMA KAMINSKI,13,PARTIDO DOS TRABALHADORES
210002065398,20777,KATIA CILENE REYES MORALES DE OLIVEIRA,20,PODEMOS
210002149099,13613,CLAUDETE DO NASCIMENTO,13,PARTIDO DOS TRABALHADORES
210002151116,11114,ROSELAINE DIAS KAPPAUN,11,PROGRESSISTAS
210002155615,55123,MIRELA SILVA COSTA,55,PARTIDO SOCIAL DEMOCRÁTICO
210002156951,12620,JOAO PAULO BORGES DE VARGAS,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002158005,12345,ZALUAR SOARES DA SILVA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002006836,40124,CLAIRTON VALENTIM DE MATTOS,40,PARTIDO SOCIALISTA BRASILEIRO
210002053701,12412,ELISANGELA DE ANDRADE MARQUES,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002062284,11666,LAIRTON LUIZ UNFER,11,PROGRESSISTAS
210002149436,12113,EDEMILSON RODRIGO GARCIA DE GARCIA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210001995889,65659,ANDRESSA CAMPANHER MARQUES,65,PARTIDO COMUNISTA DO BRASIL
210002156201,11222,BEATRIZ KUHN SIPP,11,PROGRESSISTAS
210002000143,11,LUCIANE RODRIGUES MOURA,11,PROGRESSISTAS
210002007839,44604,CARLA JOSIANE VARGAS REBELLO,44,UNIÃO BRASIL
210002052282,55555,ADRIANO DE LIMA BILHÃO,55,PARTIDO SOCIAL DEMOCRÁTICO
210002059762,10111,ARIANE FRARE,10,REPUBLICANOS
210002060689,11777,PEDRO PAULO HOPPE,11,PROGRESSISTAS
210002061592,20789,MAURO PERTILE,20,PODEMOS
210002153981,13013,FATIMA PORTIGLIOTTI MUNARO,13,PARTIDO DOS TRABALHADORES
210001996752,22024,MARLI BABINSKI,22,PARTIDO LIBERAL
210002052060,11123,DAIANE DA SILVA ARAUJO,11,PROGRESSISTAS
210002055953,44123,LEODOCIR CECHIN,44,UNIÃO BRASIL
210002058491,10123,CELSO RODRIGUES DA SILVA,10,REPUBLICANOS
210002059837,22200,ROSEGLEY MACHADO FAVERO,22,PARTIDO LIBERAL
210002059894,12000,JOAO PAULO TRES BARCAROLO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002062261,12123,OSMAR PORTO DA CONCEIÇÃO,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002062508,13,TAMYRES FRANCIS CARVALHO FILGUEIRA,50,PARTIDO SOCIALISMO E LIBERDADE
210002062508,13,TAMYRES FRANCIS CARVALHO FILGUEIRA,50,PARTIDO SOCIALISMO E LIBERDADE
210002064004,11333,MARCIA SIMONE LOPES BELO,11,PROGRESSISTAS
210002064618,44010,BRUNO MATHEUS DE OLIVEIRA DORNELES,44,UNIÃO BRASIL
210002064804,11000,ALDAIR JOSÉ BARCELOS,11,PROGRESSISTAS
210002147135,25123,NAURA ROSANI FIGUEIREDO TEIXEIRA,25,PARTIDO RENOVAÇÃO DEMOCRÁTICA
210002149427,12212,FABÍOLA SILVA DA SILVA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002152469,45333,CAMILA AIRES FAGUNDES,45,PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA
210002152769,10000,JUSTINO BIAZUS,10,REPUBLICANOS
210002153303,12345,ADILSON VICENTE BONFADA,12,PARTIDO DEMOCRÁTICO TRABALHISTA
210002156546,15515,MARCIA SANTOS DE ALMEIDA,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002157129,15,ALTAIR JOSE DE VARGAS,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002158837,13300,VANDERLEI SILVEIRA DE PAULA,13,PARTIDO DOS TRABALHADORES
210002249963,11444,DIEISON JOCEMAR ENGROFF,11,PROGRESSISTAS
210002249631,15333,GECI TERESINHA MALLMANN,15,MOVIMENTO DEMOCRÁTICO BRASILEIRO
210002286920,44044,DORA EVANICE DE OLIVEIRA FERNANDES,44,UNIÃO BRASIL
210002302751,20014,CAMILA DE LIMA ALVES,20,PODEMOS
210002303486,10112,JOICE MARTINS SWAROWSKY,10,REPUBLICANOS
